mascon_id,lat_center,lon_center,lon_center_0_360,lat_span_deg,lon_span_deg,area_km2,gsfc_location_code,gsfc_basin_code,country_of_center,frac_area_land,frac_area_arabian_peninsula,on_arabian_peninsula,leakage_2sigma_cm,leakage_trend_uncert_cm_per_yr,mean_noise_2sigma_cm,series_std_cm,signal_variance_cm2,noise_variance_cm2,variance_snr,n_months_observed
9338,20.0,45.2662722,45.2662722,1.0,1.0650888,12392.71,80,6009,Saudi Arabia,1.0,1.0,True,0.969150871422385,0.14429911086335778,1.4493729965008164,4.598444603735302,21.145692773622322,0.5435661887646595,37.901780888320644,254
9339,20.0,46.33136089999999,46.3313609,1.0,1.0650888,12392.71,80,6009,Saudi Arabia,1.0,1.0,True,0.9203005892752238,0.22420802473218418,1.436084984401886,4.884499949927215,23.858339760838966,0.5336449278163887,43.70826670922263,254
9340,20.0,47.396449700000005,47.3964497,1.0,1.0650888,12392.71,80,6009,Saudi Arabia,1.0,1.0,True,0.824112621312084,0.24518842175055075,1.3769806765960784,4.543831060819005,20.64640070926356,0.4906228770705839,41.082017929003435,254
9341,20.0,48.46153850000002,48.4615385,1.0,1.0650888,12392.71,80,6009,Saudi Arabia,1.0,1.0,True,0.8508168314009406,0.2072243069901186,1.4345917021118573,3.7454543811187326,14.028428521041509,0.5325357062621061,25.34270032240228,254
9342,20.0,49.52662720000001,49.5266272,1.0,1.0650888,12392.71,80,6009,Saudi Arabia,1.0,1.0,True,1.000007609918701,0.1317777672526883,1.63214332928655,2.7731486356759016,7.690353355551114,0.6893006564224244,10.156747471364994,254
9343,20.0,50.59171599999999,50.591716,1.0,1.0650888,12392.71,80,6009,Saudi Arabia,1.0,1.0,True,0.9998874305226375,0.0515433244514533,1.627489474086461,2.0771785881575027,4.314670887099997,0.6853753492344189,5.2953400525997765,254
9344,20.0,51.65680470000001,51.6568047,1.0,1.0650888,12392.71,80,6009,Saudi Arabia,1.0,1.0,True,0.923145771761164,-0.007337686519010686,1.5468203683121557,1.8931866350746187,3.584155635225158,0.6191157718075777,4.789152527581093,254
9345,20.0,52.72189349999999,52.7218935,1.0,1.0650888,12392.71,80,6009,Saudi Arabia,1.0,1.0,True,0.884539707542139,-0.03595628151316287,1.4603698836974066,1.8795485321051932,3.5327026845387866,0.5518459247311853,5.401610533337966,254
9346,20.0,53.78698220000001,53.7869822,1.0,1.0650888,12392.71,80,6009,Saudi Arabia,1.0,1.0,True,0.8294288463539045,-0.03377781937026656,1.4212049627763637,1.8812498888125442,3.5391011441572098,0.5226434765585892,5.77153987927078,254
9347,20.0,54.852070999999995,54.852071,1.0,1.0650888,12392.71,80,6009,Saudi Arabia,1.0,1.0,True,0.8585401576991115,-0.03321651774139016,1.4610055154104935,2.067089722946884,4.272859922712626,0.5523264154775223,6.736113651233681,254
9348,20.0,55.91715980000001,55.9171598,1.0,1.0650888,12392.71,80,6009,Oman,1.0,1.0,True,0.948146934561678,-0.04418262979968716,1.595208968849354,2.380606353622509,5.6672866109078575,0.6584567723554311,7.606922806238052,254
9349,20.0,56.9822485,56.9822485,1.0,1.0650888,12392.71,80,6009,Oman,1.0,1.0,True,1.1246836975611951,-0.08259687387183601,1.7321764083988092,2.5886583273171433,6.701151935588389,0.7763835805934279,7.631238608197216,254
9350,20.0,58.04733730000001,58.0473373,1.0,1.0650888,12392.71,80,6009,(offshore/unassigned),0.31861755163827693,0.31861755163827693,False,1.3379008658305205,-0.14753266539716836,1.8762985553475897,2.5714858400710843,6.612539425686091,0.9109530446756794,6.258924556358785,254
9351,19.0,42.8823529,42.8823529,1.0,1.0588235,12397.11,80,6009,Saudi Arabia,1.0,1.0,True,1.271935176757504,0.03791452812797883,1.6969083337238315,3.4956148892752,12.219323454122469,0.7450902294851726,15.399790214086595,254
9352,19.0,43.94117649999998,43.9411765,1.0,1.0588235,12397.11,80,6009,Saudi Arabia,1.0,1.0,True,1.161326745677122,0.1292591491412239,1.608535925393393,3.9970456443526494,15.976373883038487,0.6695047048518933,22.86297477412463,254
9353,19.0,45.0,45.0,1.0,1.0588235,12397.11,80,6009,Saudi Arabia,1.0,1.0,True,1.0974754854796178,0.1983876382484667,1.541300690196482,4.332678558332633,18.772103489835345,0.6147051464241966,29.538386735550553,254
9354,19.0,46.05882350000002,46.0588235,1.0,1.0588235,12397.11,80,6009,Saudi Arabia,1.0,1.0,True,1.0504085953175606,0.23687832360795025,1.4785769456514162,4.364008490842339,19.04457010814403,0.5656919048080147,32.66597603090573,254
9355,19.0,47.1176471,47.1176471,1.0,1.0588235,12397.11,80,6009,Saudi Arabia,1.0,1.0,True,0.9561760100284887,0.23112835071104415,1.3999480361650942,3.9375213808892475,15.504074624959967,0.5071260672333608,29.572426910615818,254
9356,19.0,48.176470600000016,48.1764706,1.0,1.0588235,12397.11,80,6009,Saudi Arabia,1.0,1.0,True,0.8924979729397988,0.188644284285678,1.3898625501046042,3.227431285455913,10.416312702339605,0.49984552618605005,19.839063583941122,254
9357,19.0,49.235294100000004,49.2352941,1.0,1.0588235,12397.11,80,6009,Saudi Arabia,1.0,1.0,True,0.9727926047708776,0.12465530429765874,1.5601200261629762,2.4665931535973193,6.084081785373169,0.6298079328974654,8.660217770492382,254
9358,19.0,50.29411759999999,50.2941176,1.0,1.0588235,12397.11,80,6009,Saudi Arabia,1.0,1.0,True,0.9804749687921365,0.05173276102754707,1.6353770370026361,1.8507093700237023,3.425125172293529,0.6920347361169717,3.9493544088726127,254
9359,19.0,51.352941200000004,51.3529412,1.0,1.0588235,12397.11,80,6009,Saudi Arabia,1.0,1.0,True,0.848832693893902,-0.02188623076049136,1.5357676165670766,1.509429909922658,2.2783786529691237,0.6102996415108917,2.733213159569688,254
9360,19.0,52.41176469999999,52.4117647,1.0,1.0588235,12397.11,80,6009,Oman,1.0,1.0,True,0.8237059101769055,-0.08588466672592011,1.4758229408513095,1.4184399783055894,2.011971972055561,0.5635865462297244,2.569943224364085,254
9361,19.0,53.47058820000001,53.4705882,1.0,1.0588235,12397.11,80,6009,Oman,1.0,1.0,True,0.8176079430714357,-0.13676118828429312,1.4225612341556733,1.3993444199839022,1.9581648057400838,0.5236414812621044,2.7395142971111195,254
9362,19.0,54.52941179999999,54.5294118,1.0,1.0588235,12397.11,80,6009,Oman,1.0,1.0,True,0.8624153093338335,-0.18352182388177835,1.4539471191480633,1.5671229679199548,2.4558743965822476,0.547002518512522,3.489694861479925,254
9363,19.0,55.58823530000001,55.5882353,1.0,1.0588235,12397.11,80,6009,Oman,1.0,1.0,True,1.0103702927006093,-0.2169955158705467,1.6181510698679702,1.9716742791507902,3.887499463064788,0.6775326566514523,4.737730019210956,254
9364,19.0,56.647058799999996,56.6470588,1.0,1.0588235,12397.11,80,6009,Oman,0.8583391513619107,0.8583391513619107,True,1.21866134389758,-0.2546173919941865,1.828446847787774,2.3674269043306224,5.604710147348474,0.8650810197996732,5.478826860224441,254
9365,19.0,57.70588240000001,57.7058824,1.0,1.0588235,12397.11,80,6009,Oman,0.32083579552722363,0.32083579552722363,False,1.5130634649604904,-0.29377509191376616,2.0309564202785344,2.6134004357683422,6.82986183767416,1.0673167188065495,5.3990957110754945,254
