HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT,basin_idx,n_mascons,grid_cells,tws_trend_mm_yr,tws_p,gws_trend_mm_yr,gws_p,gws_coverage,ice_fraction,gws_model_spread_mm_yr,first_year,last_year,n_months_first_year,n_months_last_year,tws_first_year_mm,tws_last_year_mm,tws_endpoint_change_mm,gws_first_year_mm,gws_last_year_mm,gws_endpoint_change_mm,span_years,tws_trend_implied_change_mm,gws_trend_implied_change_mm
1040014930,0,1040014930,1040014930,0.0,0.0,15664.1,15664.1,1259,0,1,0,57,56,5.0,5.0,12.591966489354323,3.642822034510367e-22,5.437052147096072,0.002257236677250762,0.5731412815284345,0.0,9.403838751946624,2018.0,2026.0,5.0,3.0,-40.60189814636813,41.91150423742397,82.5134023837921,-6.817947895043622,45.61419898364601,52.432146878689636,7.75,97.56403878130797,42.12692012671289
1040015030,0,1040015030,1040015030,0.0,0.0,111328.1,111328.1,1260,0,1,0,58,57,19.0,19.0,8.800167899339636,4.2202152465532914e-11,2.2432001786215774,0.04885623657160734,0.866688126330874,0.0,10.840775684190987,2018.0,2026.0,5.0,3.0,-27.559924198242907,30.76952321734795,58.329447415590856,-8.848061116078544,20.045842476134084,28.893903592212627,7.75,68.18473690658773,17.380579070497095
1040015850,0,1040015850,1040015850,0.0,0.0,5118.9,884883.1,1271,0,0,1,59,58,3.0,3.0,-1.6504486772163922,0.5684530132336466,-1.6114559851439285,0.5790241669235238,0.8267900555956204,0.0,1.383797444207305,2018.0,2026.0,5.0,3.0,8.351714922124547,28.11084739301413,19.759132470889583,8.759672737637265,29.65946650825681,20.899793770619546,7.75,-12.787870654407639,-12.485750685714764
1041620260,1040015850,1040015850,1040015850,153.8,153.8,68986.1,796731.2,1273,0,0,1,60,59,11.0,11.0,5.728037404246374,0.003167580413251319,4.919370777428611,0.0010820581485284123,0.998424001826104,0.0,1.651160777324782,2018.0,2026.0,5.0,3.0,-11.150793210481257,29.58530190289917,40.73609511338043,-10.512647191076871,28.249253169770288,38.76190036084716,7.75,44.381508156104694,38.11586392915255
1041620200,1040015850,1040015850,1040015850,153.9,153.9,86977.8,86977.8,1272,0,0,2,61,60,18.0,18.0,-1.4277834974359394,0.6830159120676218,-1.3173482996060386,0.623112452362496,1.0,0.0,0.7342178327317764,2018.0,2026.0,5.0,3.0,6.234570046520427,9.025710373260187,2.79114032673976,1.7721561658423943,11.740313741367236,9.968157575524842,7.75,-11.062634627635068,-10.206969713579985
1041624310,1041620260,1040015850,1040015850,639.1,639.1,361380.7,361380.7,1274,0,0,2,62,61,46.0,46.0,12.80645360862695,0.11110419810821093,12.43170880855772,0.002660067364054042,1.0,0.0,3.5710128116533455,2018.0,2026.0,5.0,3.0,-46.21859663661665,30.033463130743616,76.25205976736027,-50.42794015503616,12.11034751975678,62.53828767479294,7.75,99.22591023248259,96.32234340374634
1041624330,1041620260,1040015850,1040015850,639.3,639.3,2295.5,428259.7,1275,0,0,1,63,62,2.0,2.0,8.13965919272942,8.708367157715515e-06,6.272440949623867,2.6830189396957175e-07,1.0,0.0,3.6927338155167617,2018.0,2026.0,5.0,3.0,-20.2974646280827,25.938243223928733,46.23570785201143,-19.55268144527374,20.311814417445248,39.86449586271899,7.75,63.06703768767765,48.599610917003545
1041626200,1041624330,1040015850,1040015850,687.4,687.4,85063.1,85063.1,1276,0,0,2,64,63,15.0,15.0,9.272979788250852,1.2657108580041462e-08,3.4963544597959224,0.0009378260911722857,1.0,0.0,10.401354325464013,2018.0,2026.0,5.0,3.0,-25.8100772900354,25.297769987793043,51.10784727782844,-18.22044879911089,14.790032907086356,33.01048170619725,7.75,71.84813908487314,27.09016597186163
1041626210,1041624330,1040015850,1040015850,687.5,687.5,71225.1,347209.5,1277,0,0,1,65,64,13.0,13.0,11.8000233769385,0.00027582780322106537,4.4344546883429885,0.00010239113623811361,1.0,0.0,12.822706193784287,2018.0,2026.0,5.0,3.0,-34.152801124468795,29.554404957805804,63.707206082274595,-16.164078849354325,12.05814892820735,28.222227777561677,7.75,91.427970312761,34.358676982917615
1041629430,1041626210,1040015850,1040015850,1240.0,1240.0,98763.6,98763.6,1278,0,0,2,66,65,19.0,19.0,12.636693573295549,0.007457205728381033,8.049671246830851,5.551663172683614e-07,1.0,0.0,6.594115347542802,2018.0,2026.0,5.0,3.0,-23.764999699939573,27.443580972029874,51.20858067196944,-6.195197426547571,10.905715005887407,17.100912432434978,7.75,97.91058949329611,62.36980048879209
1041629370,1041626210,1040015850,1040015850,1240.2,1240.2,197513.3,197513.3,1279,0,0,1,67,66,28.0,28.0,20.215837533832318,0.1575057474369158,17.420333447552053,0.08563042091818604,1.0,0.0,5.522399821828085,2018.0,2026.0,5.0,3.0,-46.36328213832485,35.19156476521761,81.55484690354245,-31.557573275834176,14.671566919525354,46.229140195359534,7.75,156.6346891738411,134.9747944053999
1040015860,0,1040015860,1040015860,0.0,0.0,261113.2,261113.2,1280,0,1,0,68,67,36.0,36.0,-2.9103402034263155,0.45159303431613756,-3.339827473383406,0.3413100563882037,0.8998346387596023,0.0,2.689786074513574,2018.0,2026.0,5.0,3.0,12.89984397104431,-0.1998746651753779,-13.099718636219688,10.850013519741054,-8.93260680980073,-19.782620329541786,7.75,-22.549658523467414,-25.877376453593538
1040018110,0,1040018110,1040018110,0.0,0.0,6.0,6.0,1311,0,1,0,69,68,,,,,,,,,,,,,,,,,,,,,,
1040018120,0,1040018120,1040018120,0.0,0.0,108945.8,108945.8,1312,0,0,1,70,69,18.0,18.0,1.0824568992544954,0.8430667475141133,-0.9086120757702005,0.8478407765761083,1.0,0.0,3.2442476214557696,2018.0,2026.0,5.0,3.0,48.59267902076402,40.05642252695325,-8.536256493810768,46.855012205211615,23.684279550170277,-23.170732655041338,7.75,8.387003490459199,-7.040033331771848
1040018130,0,1040018130,1040018130,0.0,0.0,123689.9,123689.9,1313,0,1,0,71,70,20.0,20.0,5.073921893594683,0.18960304822292753,4.027301715673011,0.30912879087016787,0.8565337400418679,0.0,2.5155407766492557,2018.0,2026.0,5.0,3.0,26.059038972287635,9.667584379122667,-16.391454593164966,32.336341438392765,18.511596887858357,-13.824744550534408,7.75,39.313344172136766,31.2040078175349
1040019180,0,1040019180,1040019180,0.0,0.0,22907.8,22908.3,1314,0,0,1,72,71,7.0,7.0,4.713151830479838,0.1274337397825935,3.828912247552156,0.2990311050764652,0.8733199314715442,0.0,1.3419283149522518,2018.0,2026.0,5.0,3.0,16.36567058676617,-30.922078688775063,-47.28774927554123,9.926771050665405,-31.872634515033344,-41.79940556569875,7.75,36.51805525053509,29.66686286262177
1040019190,0,1040019190,1040019190,0.0,0.0,1081.2,1081.2,1315,0,1,0,73,72,2.0,2.0,12.138274027777914,0.004003684751811292,,,0.0,0.0,,2018.0,2026.0,5.0,3.0,-16.896950916840208,-44.128774714769435,-27.231823797929227,,,,7.75,94.04877617689664,
1040019270,0,1040019270,1040019270,0.0,0.0,22892.1,22892.3,1316,0,0,1,74,73,6.0,6.0,12.145505907379953,0.005035349784382478,8.691938775707548,0.024924939081494638,0.7255007832765612,0.0,1.115885976638816,2018.0,2026.0,5.0,3.0,-15.25587567719478,-41.984187002405015,-26.728311325210235,-3.797116561204575,-30.344397095162957,-26.547280533958382,7.75,94.10480963144495,67.3461649151331
