time,gsfc_tws,gsfc_minus_res,csr_tws,gsfc_tws_nl,gsfc_minus_res_nl,csr_tws_nl
2006-07-01,-44.01339221399448,-38.7640592482339,-42.41948383204206,-48.21499803252437,-37.28291702090088,-43.263204124842304
2006-08-01,-31.435876652775544,-26.702815389088975,-13.445730005322407,-36.747528282359895,-24.251168049439052,-14.639476346946553
2006-09-01,-26.457507739980073,-22.236617431552823,0.24942636080704647,-31.175363772832306,-19.09241147276651,-3.141197470732363
2006-10-01,-8.480874796528209,-6.314494025317613,18.761822323860155,-12.161447952381874,-3.330417001612355,12.486946302392523
2006-11-01,-4.952737277816452,-3.2520776718825437,-0.9959562060979439,-7.403768727874735,1.3129877911551764,-9.284752742371111
2006-12-01,1.4971121551237954,3.7502285471533696,-6.528136376709522,1.181621196994124,9.966850619714332,-13.173182849352719
2007-01-01,27.27035178224047,31.478232300398222,16.610259869173735,29.709758043225975,38.16654914169509,13.776820776638642
2007-02-01,6.692188589995488,11.629740585636009,2.6289931216097413,9.601500261046272,17.519578550695357,4.334683272974285
2007-03-01,-6.235380086616376,-0.9028973515344924,-1.812552210017456,-3.1421859121104565,5.2338729299459805,5.234413724898313
2007-04-01,-16.035431284911166,-8.364216958632344,-20.277452516356288,-15.23951370212159,-4.741802028310505,-13.798296958123643
2007-05-01,-36.83775285330029,-25.854623847854942,-31.377357323458455,-39.480365161413836,-26.55599095792283,-29.07219795898373
2007-06-01,-32.46387268915594,-21.77108323228777,-22.798801389539396,-28.193817988789537,-15.901681281839835,-20.145041655126235
2007-07-01,-14.534966988383518,-9.852758564694463,-3.055112880939478,-12.66182526887238,-3.0463332319367256,0.770935098255996
2007-08-01,-1.4606644039079386,0.6598943160335399,23.24168961526641,-4.101754967886889,0.9700519275214744,14.447862195114702
2007-09-01,29.10908666572055,26.880836941249303,41.29536672773492,25.477330134020793,25.25764711119359,30.97910455993201
2007-10-01,18.202895522948,13.055333417411202,35.256207666146715,14.799520648224116,12.3141160621287,24.684409691703724
2007-11-01,11.19399862440283,8.349198032760526,15.170470102088098,14.53464391394508,12.454560622725529,5.07631592471871
2007-12-01,-10.934650734073854,-13.087552992661651,-4.770565152197492,-12.855782847806152,-14.51464247299653,-14.493815911253856
2008-01-01,1.5279148944136234,1.8462758207973309,9.459440126085438,6.203805298550836,7.766060951002561,2.093085286333879
2008-02-01,-8.135776105305547,-6.492232686252635,-8.942653076342095,-5.448327251236078,-2.575986762227755,-9.006196110924815
2008-03-01,-15.210788541401255,-12.866116168486567,-25.32428033378946,-16.680356495484897,-12.543114022255297,-22.0914141342019
2008-04-01,-20.530234741327316,-15.658778975742027,-45.40016486202345,-21.60101685404879,-14.491005791181934,-41.32543004265827
2008-05-01,-29.394550986902257,-22.382907877433382,-50.702099865015136,-27.11843193306877,-17.835664651836435,-45.15750517313642
2008-06-01,-51.953759933156356,-46.18736371217187,-49.72391571370104,-54.97885411317668,-43.26327816018702,-47.59720564779
2008-07-01,0.39148555971005866,3.8924995571894665,-2.0594591360153705,-2.2691333410985903,10.005897121552177,-6.381329148842213
2008-08-01,18.71236670089369,20.88772213815581,7.535106909960243,14.174229356879271,26.370466450730824,5.499072897863809
2008-09-01,86.3791827865492,83.23152228433872,80.0317832818703,84.98689933791829,89.09208256756358,79.74817792920938
2008-10-01,87.71992168313886,76.4552583109954,78.44455955347954,95.1401264906911,83.08514866637873,76.67404951746532
2008-11-01,38.44372662926326,26.868311715400083,41.56890173216393,44.82033676810983,29.772758597395363,38.91796774702163
2008-12-01,43.289646289545935,32.4745486065475,31.076213342803594,54.49150134679994,38.14334540909697,32.80743851530185
2009-01-01,33.480533745869934,23.741819038671053,13.855025328678803,48.32915954432969,32.34068010140362,18.30480435229884
2009-02-01,17.294163701777425,8.027916925313287,-11.136430406147559,29.201801046632013,13.977206628726911,-5.476429234126168
2009-03-01,0.5244685414443968,-7.584147115442731,-12.703787051810123,10.72362656051908,-3.581075022364338,-4.494819619445076
2009-04-01,-16.662170280739023,-21.99178219695878,-25.907053548699714,-0.507766242982495,-10.660552862181499,-15.225398361572015
2009-05-01,-16.692661095092895,-19.844829009996097,-25.734017981922893,-6.620208308052347,-11.400508523815713,-16.91842805334355
2009-06-01,-19.20552934255193,-22.364191271734633,-19.945726515262322,-9.576004951421625,-12.264825028321034,-10.075643872618132
2009-07-01,-28.250304068111408,-32.60230751760729,-29.343728620296872,-24.940689772968945,-25.959130754029797,-27.37082605732244
2009-08-01,-49.73021370849705,-52.96224857194042,-25.063504661810157,-45.57850146308472,-44.22017434198326,-23.660854134477713
2009-09-01,-13.403054916586305,-17.674319324654274,2.7391341269245455,-8.080440494101357,-6.510686920204422,1.313396192722976
2009-10-01,20.721420731322876,16.112216776424535,27.220639271830922,25.661881718127745,26.181809536345277,21.50138181916341
2009-11-01,2.9879253586357692,-1.3496938938683838,14.106205302274509,8.380456707167413,8.880800406771135,4.913199204835873
2009-12-01,28.983134453673188,25.879976670513727,19.994710792437328,39.81459730864086,40.009968389471226,16.43044647668782
2010-01-01,30.212824497019064,27.337129665030766,8.146350934065993,42.92392616463192,42.56536512958771,8.234590294744491
2010-02-01,35.98296648626135,33.158912119094424,19.632561810001057,46.96195477441607,46.02844085788915,18.785197302954337
2010-03-01,7.281624102026849,4.77312837580298,13.864789261184995,7.302531308613625,5.871595344896922,20.800522623022808
2010-04-01,-6.462777897859754,-8.268296460057446,5.315136076374256,0.4140711380116722,-1.2137200072674263,15.79481401970045
2010-05-01,-7.5676571180610885,-8.115240008607953,-17.960828177089798,2.7772689386901965,0.6819145295330623,-8.140761975367555
2010-06-01,-14.173882097591896,-13.941858828636835,-20.76520234563764,-2.964786045884841,-2.939867993194964,-14.178561181765115
2010-07-01,62.88523106474423,51.544035758371884,72.5432130483453,84.50161215596003,66.03649963136914,100.11142639372164
2010-08-01,48.35019045546559,35.69452392969094,57.95586962635863,61.117221248802004,49.48662109645774,69.63647319425235
2010-09-01,46.75751658180949,32.63132716585524,62.89210299265624,61.220931908288854,48.03607899275346,58.267740082130686
2010-10-01,32.48112093590546,18.07790338658244,57.100738743311354,52.29427699228326,34.135579583999494,65.15655399178304
2010-11-01,10.972349221254541,-1.615183318150809,17.72473838793179,32.471860261469615,17.178373541664843,15.520425764151858
2010-12-01,4.624051522167863,-7.599392064373018,14.150456028697942,27.107657711018366,10.88651530812277,14.115034439052549
2011-01-01,,,,,,
2011-02-01,-37.40124172834194,-47.245990436891645,-1.7024407710441378,-20.859673279074414,-34.009051022326176,6.584050283988996
2011-03-01,-12.001725234858906,-20.276146654152825,-4.756569859368451,15.102297732991309,1.8118051757827802,6.995505635706816
2011-04-01,-38.01130911334345,-45.10743070533312,-24.102699070123023,-15.969207894486939,-26.434572260164146,-9.34790781546192
2011-05-01,-40.86562514280119,-44.830638864271855,-48.87376205475552,-18.442619721796607,-22.592374511931574,-37.027188596959746
2011-06-01,,,,,,
2011-07-01,-38.01735870456057,-47.21428929547641,-7.538374175236436,-36.85010728220649,-37.5232041987869,-7.267146660663041
2011-08-01,-54.985224049215255,-62.60788462612048,-19.760284635007228,-46.78936748003676,-44.893650074466464,-17.780595650630122
2011-09-01,-52.49853458530177,-60.393487251268574,-24.719861590410627,-44.737271402146156,-41.16167790265292,-21.92827846571201
2011-10-01,-47.058602473517034,-54.507389368147614,-29.57157564860655,-39.892618184172036,-35.2994589072323,-28.511787033015302
2011-11-01,-41.34466166304259,-47.09737731016893,,-29.208218739615585,-23.39826487322821,
2011-12-01,-49.95121796555396,-53.163797466158734,-31.007102692889532,-33.84414999532479,-27.458747730387206,-29.327311340172734
2012-01-01,-59.42543631733068,-60.902949018743264,-33.35669868806945,-44.75123496810907,-35.90813703573386,-31.921167079413173
2012-02-01,-38.680166554929315,-39.4525706879103,-24.90563816410839,-23.817168859179173,-15.916890835897876,-19.951883555452586
2012-03-01,-43.37526916948638,-43.26337334448615,-35.85268487868783,-27.268921116840485,-20.60916999660162,-32.0956433065724
2012-04-01,-56.93717060818963,-55.91288429222558,-51.6473350227899,-41.108579380509674,-32.83801621697715,-47.50035382547295
2012-05-01,,,,,,
2012-06-01,-80.7620313645532,-77.15422000362767,-48.23312140286432,-68.37457325021306,-53.562733249655025,-38.89915737461361
2012-07-01,-67.23837789976773,-64.48479083303644,-44.53285937293739,-56.834367650280775,-40.235351204251536,-42.1267618053321
2012-08-01,-58.80158693976918,-56.995786729894036,-39.05585350574104,-48.68198193897232,-30.46751936980797,-41.89167247608562
2012-09-01,-44.349895378887624,-42.67035215674863,-26.402010816351975,-34.34447613349228,-15.612299604280377,-33.56320336613693
2012-10-01,,,,,,
