,tws,reservoir,soil_moisture,groundwater,tws_minus_reservoir_only
2007-01-01,17.047275710537196,-0.9521728842258018,23.135714560462773,-5.136265965699779,17.999448594763
2007-02-01,8.622052653748904,-0.9178357569548855,34.93842739258663,-25.398538981882844,9.539888410703787
2007-03-01,-2.8859188270049234,-1.7581007904311412,15.394482660570683,-16.522300697144463,-1.1278180365737833
2007-04-01,2.4119861561743687,-1.384596842121378,24.627928389313453,-20.831345391017706,3.7965829982957464
2007-05-01,-19.817324397378936,-1.8107846650056756,20.670111306503856,-38.67665103887711,-18.00653973237326
2007-06-01,8.102152917614323,1.7238679902416307,20.818462792251864,-14.440177864879168,6.378284927372693
2007-07-01,10.746326828362683,2.058712513867443,39.75751075612506,-31.069896441629812,8.68761431449524
2007-08-01,19.17210394335743,5.493191415996477,43.440140108139445,-29.76122758077848,13.678912527360952
2007-09-01,36.108643732343026,8.800089031601644,42.7891314118317,-15.480576711090325,27.308554700741375
2007-10-01,11.204712201185114,8.776637677512122,3.595521395012957,-1.167446871339967,2.4280745236729895
2007-11-01,11.703488857633738,8.244121579350347,-0.7444542008585764,4.203821479141967,3.459367278283391
2007-12-01,-21.146513878818812,7.640411784503941,-4.367625378310994,-24.419300285011758,-28.78692566332275
2008-01-01,-6.458677034137941,5.942362561791602,-9.931818771839438,-2.4692208240901086,-12.401039595929543
2008-02-01,-6.427774858533446,4.127902043685875,-12.737031159609087,2.1813542573897675,-10.555676902219322
2008-03-01,-16.424089410379366,2.480715578395696,-21.46701194402148,2.562206955246421,-18.904804988775062
2008-04-01,-3.9495169957528313,2.003103768822851,-16.44978859275028,10.497167828174598,-5.952620764575682
2008-05-01,-7.455391169033872,1.8308222572529915,-9.47022420829067,0.18401078200380488,-9.286213426286862
2008-06-01,-18.682883206772818,2.300428744201681,-21.997886747445573,1.0145747964710765,-20.9833119509745
2008-07-01,21.13901875613648,-0.6008259118476678,9.251286559353092,12.488558108631054,21.73984466798414
2008-08-01,37.4480882681236,-1.6312387824467136,30.545986802846436,8.533340247723865,39.079327050570306
2008-09-01,95.6182129362405,4.475222779129142,68.9142940599753,22.228696097136055,91.14299015711137
2008-10-01,91.54531804365212,18.346210915729106,33.804713893962735,39.39439323396027,73.19910712792301
2008-11-01,41.98918171179848,21.211616458845256,22.479102031875723,-1.7015367789225033,20.77756525295322
2008-12-01,46.20077031578728,22.32970809701652,10.716731234097724,13.154330984673033,23.87106221877076
2009-01-01,35.666677211640916,23.493097657169393,-0.2416894681469296,12.415269022618446,12.173579554471514
2009-02-01,28.222353439334658,22.2248369505993,-5.310521714535511,11.30803820327086,5.997516488735349
2009-03-01,10.979893645624614,20.922659634508715,-10.908117137593763,0.9653511487096597,-9.942765988884101
2009-04-01,17.143733615313465,19.265901450888716,-13.707983988738295,11.58581615316304,-2.1221678355752513
2009-05-01,13.04283245598255,15.893889754248695,-13.665684914986244,10.814627616720102,-2.8510572982661437
2009-06-01,26.71996595498224,16.704824774090746,-16.887329854384948,26.902471035276445,10.015141180891495
2009-07-01,-1.532537675733876,12.692645531863954,-38.50957658267321,24.28439337507538,-14.22518320759783
2009-08-01,-22.304642551840395,9.206671190303384,-40.39207172629108,8.88075798414729,-31.51131374214377
2009-09-01,2.5508731042208708,7.010652434877506,-21.041216676511397,16.581437345854763,-4.459779330656636
2009-10-01,22.067073271088752,5.7713052731991805,-23.17952335832686,39.475291356216445,16.29576799788957
2009-11-01,5.5493016508560675,5.663694588527071,-24.26294854115713,24.14855560348612,-0.11439293767100508
2009-12-01,31.523866277628215,5.786181078483202,-2.2358540012264894,27.9735392003715,25.737685199145012
2010-01-01,30.26144383194315,7.863179249287538,13.062407365764365,9.33585721689125,22.398264582655617
2010-02-01,45.982507167118705,7.933756449221118,33.66802363742623,4.380727080471365,38.04875071789759
2010-03-01,7.558798393719159,8.048894015342002,18.8518737572151,-19.341969378837945,-0.490095621622843
2010-04-01,18.065570996307628,10.740905976968806,27.686065931415065,-20.36140091207624,7.324665019338824
2010-05-01,22.44030970272509,13.208943947642462,29.803549916303986,-20.572184161221347,9.231365755082633
2010-06-01,33.33118486051903,13.991086644501465,21.875367500996433,-2.535269284978875,19.34009821601756
2010-07-01,107.90976425319509,30.139317075394004,97.05915022421183,-19.288703046410745,77.77044717780107
2010-08-01,84.39108016004631,22.195598463749114,49.36110246467733,12.834379231619872,62.195481696297215
2010-09-01,71.85224550661108,21.765258924309837,40.38840983322882,9.69857674907242,50.08698658230124
2010-10-01,48.69946854524426,24.44993049970048,26.312257801034026,-2.0627197554902508,24.24953804554378
2010-11-01,29.640705205158262,21.457525007935562,8.923334436995349,-0.7401542397726455,8.183180197222704
2010-12-01,18.816926680005714,22.20269456220916,-0.3777634442012656,-3.0080044380021835,-3.3857678822034507
2011-02-01,-21.839120886371788,20.149620275945974,-1.3571092375202531,-40.6316319247975,-41.988741162317766
2011-03-01,15.358564818096845,19.908450608833828,-11.7568036733539,7.206917882616915,-4.549885790736983
2011-04-01,1.6822919638090212,19.57847919736692,-14.609704865163092,-3.2864823683948083,-17.8961872335579
2011-05-01,1.2204210422382922,15.263344328620294,-24.316882406026068,10.273959119644063,-14.042923286382003
2011-07-01,-13.441955184971418,12.347301467383517,-18.83248808231146,-6.956768570043484,-25.789256652354936
2011-08-01,-23.515508568792438,8.66928090583455,-26.205903737010644,-5.978885737616343,-32.184789474626974
2011-09-01,-34.105957803823934,5.004812509281205,-50.90538664467709,11.794616331571968,-39.11077031310513
2011-10-01,-43.48742663121106,1.698073814476961,-57.15695472251079,11.971454276822787,-45.185500445688
2011-11-01,-32.039373795926934,0.35408442174341814,-50.139685419691865,17.746227202021526,-32.39345821767036
2011-12-01,-42.13488102633745,-0.4038501056240271,-42.15274611602137,0.42171519530794427,-41.73103092071342
2012-01-01,-57.41371730079785,-1.338479718131893,-44.01453228328371,-12.060705299382246,-56.07523758266596
2012-02-01,-24.79661646647654,-0.9000354905870955,-14.175923468981408,-9.720657506908038,-23.896580975889446
2012-03-01,-27.012654031734954,-0.04179306861356466,-15.861580200564052,-11.109280762557333,-26.970860963121392
2012-04-01,-23.4570795222137,0.8425516681571956,-8.928625806226112,-15.37100538414479,-24.2996311903709
2012-06-01,-32.07860234380919,-0.7958353033666998,-14.586278752240224,-16.696488288202268,-31.28276704044249
2012-07-01,-33.4262155530457,-4.924811895226147,-32.98757241969649,4.486168761876934,-28.501403657819555
2012-08-01,-25.408123027727985,-7.649464257759503,-34.563772467721286,16.805113697752805,-17.758658769968484
2012-09-01,-23.713162535170063,-10.151770520437475,-56.119670858369524,42.55827884363692,-13.561392014732593
2012-11-01,-56.51433179266092,-12.303562544745157,-48.57087258467339,4.360103336757633,-44.210769247915756
2012-12-01,-57.70326200595133,-17.0340016605223,-45.77378873829892,5.1045283928698915,-40.66926034542903
