time,tws_mm,tws_minus_res_mm,reservoir_mm,tws_mm_nlweighted,tws_minus_res_mm_nlweighted,reservoir_mm_nlweighted,tws_mm_paired,tws_mm_nlweighted_paired
2005-02-01,48.88601969941236,46.80422854834404,2.0817911510683578,45.33668917518882,39.88216956668445,5.454519608504384,48.88601969941236,45.33668917518882
2005-03-01,39.09940434524068,36.74828101436966,2.351123330871043,37.085222280726214,30.48640458321438,6.598817697511849,39.09940434524068,37.085222280726214
2005-04-01,20.524825784520562,19.925853816823818,0.5989719676967534,14.108335786015536,12.97646644408832,1.1318693419272168,20.524825784520562,14.108335786015536
2005-05-01,-18.120921997153562,-16.686609471951616,-1.434312525201953,-23.065235801564107,-20.47133137804774,-2.593904423516366,-18.120921997153562,-23.065235801564107
2005-06-01,-32.69893705879165,-30.409089598134315,-2.2898474606573456,-40.66466395152465,-36.474781955409,-4.189881996115662,-32.69893705879165,-40.66466395152465
2005-07-01,-26.1020255288764,-23.232379875002575,-2.8696456538738313,-35.67705117056621,-29.65450355254953,-6.02254761801669,-26.1020255288764,-35.67705117056621
2005-08-01,8.513771150589971,8.44651587611623,0.06725527447374609,0.6254868979844049,-3.085167454106678,3.710654352091082,8.513771150589971,0.6254868979844049
2005-09-01,-8.422677521695737,-9.1781399025791,0.7554623808833587,-17.812152905079184,-21.04125903669061,3.22910613161142,-8.422677521695737,-17.812152905079184
2005-10-01,-9.232460184180889,-11.090262410206448,1.857802226025565,-15.830086810885529,-21.67271663332826,5.842629822442729,-9.232460184180889,-15.830086810885529
2005-11-01,-28.760131070855017,-31.258558563003227,2.4984274921481977,-32.04305275754858,-40.59575032003329,8.552697562484703,-28.760131070855017,-32.04305275754858
2005-12-01,-26.817825538262806,-29.11713878055898,2.299313242296177,-29.552513889515986,-38.281859855510106,8.729345965994124,-26.817825538262806,-29.552513889515986
2006-01-01,-21.28659476442694,-22.754046129341052,1.4626302132146134,-18.827710516142478,-25.97995781613886,7.1522472999963815,-21.28659476442694,-18.827710516142478
2006-02-01,-34.58145000843549,-34.681307828218,0.7756612331208443,-34.46480888524965,-40.56626320912736,6.101454323877703,-34.58145000843549,-34.46480888524965
2006-03-01,-54.44043930171829,-53.47636890303563,-0.013615918059186487,-55.84104801447562,-57.84911693726478,2.0080689227891497,-54.44043930171829,-55.84104801447562
2006-04-01,-56.43378672317627,-52.01723950704192,-1.9785048384085229,-57.45428361422092,-52.71499737900566,-4.739286235215271,-56.43378672317627,-57.45428361422092
2006-05-01,-69.9993713433452,-65.02674045012145,-3.8589833085551883,-72.17573448894106,-64.00402053070054,-8.171713958240554,-69.9993713433452,-72.17573448894106
2006-06-01,-62.365598059063586,-57.04073019090938,-4.71206610743172,-66.6610289722103,-57.27174042798022,-9.38928854423009,-62.365598059063586,-66.6610289722103
2006-07-01,-44.01339221399448,-38.7640592482339,-5.529947867458843,-48.21499803252436,-37.28291702090089,-10.93208101162349,-44.01339221399448,-48.21499803252436
2006-08-01,-31.435876652775537,-26.702815389088975,-6.215472117070591,-36.747528282359895,-24.251168049439052,-12.49636023292084,-31.435876652775537,-36.747528282359895
2006-09-01,-26.45750773998006,-22.236617431552823,-5.89796246020973,-31.17536377283231,-19.092411472766514,-12.082952300065795,-26.45750773998006,-31.17536377283231
2006-10-01,-8.480874796528209,-6.314494025317613,-4.134942042904464,-12.16144795238187,-3.3304170016123544,-8.831030950769517,-8.480874796528209,-12.16144795238187
2006-11-01,-4.952737277816447,-3.2520776718825437,-3.7075715481220226,-7.403768727874733,1.3129877911551766,-8.71675651902991,-4.952737277816447,-7.403768727874733
2006-12-01,1.4971121551237951,3.7502285471533696,-3.840482586826945,1.1816211969941237,9.96685061971433,-8.785229422720208,1.4971121551237951,1.1816211969941237
2007-01-01,27.270351782240457,31.478232300398222,-3.8305475604740367,29.709758043225975,38.16654914169509,-8.456791098469127,27.270351782240457,29.709758043225975
2007-02-01,6.692188589995481,11.629740585636009,-3.7508225776310837,9.601500261046269,17.519578550695357,-7.918078289649085,6.692188589995481,9.601500261046269
2007-03-01,-6.235380086616374,-0.9028973515344924,-3.905824294849731,-3.142185912110456,5.23387292994598,-8.376058842056437,-6.235380086616374,-3.142185912110456
2007-04-01,-16.035431284911162,-8.364216958632344,-4.4825582756991675,-15.239513702121586,-4.741802028310505,-10.497711673811084,-16.035431284911162,-15.239513702121586
2007-05-01,-36.83775285330027,-25.854623847854942,-5.939452417482714,-39.48036516141383,-26.55599095792283,-12.924374203491,-36.83775285330027,-39.48036516141383
2007-06-01,-32.46387268915592,-21.77108323228777,-5.66470528307004,-28.19381798878954,-15.901681281839833,-12.292136706949709,-32.46387268915592,-28.19381798878954
2007-07-01,-14.534966988383518,-9.852758564694463,-4.405729587170932,-12.661825268872379,-3.046333231936725,-9.615492036935656,-14.534966988383518,-12.661825268872379
2007-08-01,-1.4606644039079382,0.6598943160335399,-2.566271094458026,-4.101754967886889,0.9700519275214753,-5.071806895408365,-1.4606644039079382,-4.101754967886889
2007-09-01,29.109086665720536,26.880836941249303,1.1588930835271465,25.477330134020793,25.257647111193595,0.21968302282720215,29.109086665720536,25.477330134020793
2007-10-01,18.202895522948,13.055333417411202,1.5940940814168703,14.799520648224114,12.3141160621287,2.485404586095413,18.202895522948,14.799520648224114
2007-11-01,11.193998624402827,8.349198032760526,1.5355761607577656,14.534643913945079,12.454560622725527,2.0800832912195535,11.193998624402827,14.534643913945079
2007-12-01,-10.934650734073848,-13.087552992661651,1.3793629524570665,-12.855782847806148,-14.514642472996533,1.6588596251903795,-10.934650734073848,-12.855782847806148
2008-01-01,1.5279148944136234,1.8462758207973309,0.09066328998450475,6.203805298550835,7.76606095100256,-1.5622556524517235,1.5279148944136234,6.203805298550835
2008-02-01,-8.135776105305544,-6.492232686252635,-0.45901397316901565,-5.448327251236079,-2.575986762227756,-2.8723404890083244,-8.135776105305544,-5.448327251236079
2008-03-01,-15.210788541401252,-12.866116168486567,-0.9545658230491906,-16.680356495484897,-12.543114022255297,-4.1372424732296,-15.210788541401252,-16.680356495484897
2008-04-01,-20.530234741327313,-15.658778975742027,-2.890592511868237,-21.601016854048783,-14.491005791181934,-7.110011062866855,-20.530234741327313,-21.601016854048783
2008-05-01,-29.394550986902242,-22.382907877433382,-4.616133390795998,-27.118431933068763,-17.835664651836442,-9.282767281232333,-29.394550986902242,-27.118431933068763
2008-06-01,-51.953759933156334,-46.18736371217187,-5.5063332115653285,-54.978854113176666,-43.263278160187014,-11.715575952989662,-51.953759933156334,-54.978854113176666
2008-07-01,0.39148555971005977,3.8924995571894665,-5.057169469377078,-2.2691333410985894,10.005897121552175,-12.275030462650767,0.39148555971005977,-2.2691333410985894
2008-08-01,18.712366700893686,20.88772213815581,-4.736374756805491,14.17422935687927,26.37046645073082,-12.196237093851556,18.712366700893686,14.17422935687927
2008-09-01,86.37918278654918,83.23152228433872,0.285807565616955,84.98689933791826,89.09208256756358,-4.105183229645298,86.37918278654918,84.98689933791826
2008-10-01,87.71992168313884,76.4552583109954,7.871064635923402,95.14012649069112,83.08514866637871,12.054977824312399,87.71992168313884,95.14012649069112
2008-11-01,38.44372662926325,26.868311715400083,9.065143020455157,44.82033676810982,29.772758597395363,15.047578170714461,38.44372662926325,44.82033676810982
2008-12-01,43.28964628954592,32.4745486065475,9.517220671823614,54.491501346799936,38.14334540909698,16.348155937702963,43.28964628954592,54.491501346799936
2009-01-01,33.48053374586993,23.741819038671053,9.153243819059181,48.32915954432968,32.34068010140363,15.988479442926074,33.48053374586993,48.32915954432968
2009-02-01,17.294163701777418,8.027916925313287,8.74384529218667,29.201801046632017,13.977206628726913,15.224594417905104,17.294163701777418,29.201801046632017
2009-03-01,0.5244685414443961,-7.584147115442731,8.369646911693318,10.72362656051908,-3.5810750223643377,14.30470158288342,0.5244685414443961,10.72362656051908
2009-04-01,-16.662170280739016,-21.99178219695878,6.5190661146193944,-0.5077662429824954,-10.660552862181499,10.152786619199007,-16.662170280739016,-0.5077662429824954
2009-05-01,-16.692661095092888,-19.844829009996097,4.224185579134207,-6.620208308052347,-11.400508523815716,4.78030021576337,-16.692661095092888,-6.620208308052347
2009-06-01,-19.20552934255192,-22.364191271734633,3.7797883765802447,-9.576004951421622,-12.264825028321034,2.688820076899409,-19.20552934255192,-9.576004951421622
2009-07-01,-28.250304068111394,-32.60230751760729,3.2839929875527227,-24.94068977296894,-25.959130754029797,1.0184409810608543,-28.250304068111394,-24.94068977296894
2009-08-01,-49.73021370849705,-52.96224857194042,2.204535993094082,-45.578501463084706,-44.22017434198325,-1.3583271211014563,-49.73021370849705,-45.578501463084706
2009-09-01,-13.403054916586305,-17.674319324654274,2.289094440559031,-8.080440494101358,-6.510686920204421,-1.569753573896935,-13.403054916586305,-8.080440494101358
2009-10-01,20.721420731322866,16.112216776424535,2.862230528293294,25.66188171812775,26.181809536345277,-0.5199278182175279,20.721420731322866,25.66188171812775
2009-11-01,2.987925358635771,-1.3496938938683838,2.8756630842579014,8.38045670716741,8.880800406771135,-0.5003436996037213,2.987925358635771,8.38045670716741
2009-12-01,28.983134453673173,25.879976670513727,2.758434582334923,39.81459730864086,40.009968389471226,-0.19537108083035803,28.983134453673173,39.81459730864086
2010-01-01,30.212824497019056,27.337129665030766,2.6851250580882446,42.92392616463192,42.56536512958771,0.35856103504421116,30.212824497019056,42.92392616463192
2010-02-01,35.98296648626135,33.158912119094424,2.8319001057220867,46.96195477441607,46.02844085788915,0.9335139165269191,35.98296648626135,46.96195477441607
2010-03-01,7.281624102026846,4.77312837580298,2.817951729379095,7.302531308613625,5.871595344896921,1.4309359637167052,7.281624102026846,7.302531308613625
2010-04-01,-6.462777897859749,-8.268296460057446,2.4718734018570134,0.41407113801167184,-1.2137200072674272,1.6277911452790983,-6.462777897859749,0.41407113801167184
2010-05-01,-7.567657118061086,-8.115240008607953,2.4601649436665167,2.777268938690196,0.6819145295330616,2.0953544091571343,-7.567657118061086,2.777268938690196
2010-06-01,-14.173882097591896,-13.941858828636835,1.4890429616722642,-2.964786045884841,-2.939867993194964,-0.02491805268987712,-14.173882097591896,-2.964786045884841
2010-07-01,62.88523106474421,51.544035758371884,12.00960977558245,84.50161215596003,66.03649963136913,18.465112524590904,62.88523106474421,84.50161215596003
2010-08-01,48.35019045546557,35.69452392969094,10.65713202388454,61.117221248802,49.48662109645774,11.630600152344273,48.35019045546557,61.117221248802
2010-09-01,46.757516581809476,32.63132716585524,10.978292037539362,61.22093190828885,48.03607899275346,13.184852915535398,46.757516581809476,61.22093190828885
2010-10-01,32.48112093590545,18.07790338658244,11.786676675520368,52.29427699228325,34.13557958399948,18.15869740828377,32.48112093590545,52.29427699228325
2010-11-01,10.972349221254536,-1.615183318150809,10.754648710358866,32.47186026146961,17.17837354166484,15.293486719804768,10.972349221254536,32.47186026146961
2010-12-01,4.624051522167862,-7.599392064373018,10.989483760306761,27.107657711018362,10.886515308122766,16.221142402895598,4.624051522167862,27.107657711018362
