mascon_id,lat_center,lon_center,lon_center_0_360,lat_span_deg,lon_span_deg,area_km2,gsfc_location_code,gsfc_basin_code,country_of_center,frac_area_land,frac_area_arabian_peninsula,on_arabian_peninsula,leakage_2sigma_cm,leakage_trend_uncert_cm_per_yr,mean_noise_2sigma_cm,series_std_cm,signal_variance_cm2,noise_variance_cm2,variance_snr,n_months_observed,tws_trend_cm_per_yr,tws_p_value,gws_trend_cm_per_yr,gws_p_value,gws_significant_decline,gws_trend_noah_cm_per_yr,nongw_trend_noah_cm_per_yr,gws_trend_vic_cm_per_yr,nongw_trend_vic_cm_per_yr,gws_trend_clsm_cm_per_yr,nongw_trend_clsm_cm_per_yr,gws_model_spread_cm_per_yr,gws_mean_ensemble_spread_cm,n_models,gws_precip_adjusted_trend_cm_per_yr,gws_fraction_unexplained_by_precip
9161,29.0,38.40764329999999,38.4076433,1.0,1.1464968,12406.28,80,6005,Saudi Arabia,1.0,1.0,True,1.344747957554592,0.6663206856953455,1.610440857800976,13.344987735040249,178.08869764837465,0.6710913854747165,264.37175339003693,254,-1.839984379058872,1.633543651493045e-101,-1.9691779675607148,3.027495906405564e-113,True,-2.0954510850612458,0.25546670600237326,-1.9651237132071375,0.12513933414826622,-1.846959104413758,0.006974725354886191,0.24849198064748768,1.8282558040097303,3,-1.9740298609413638,1.0024639181732564
9162,32.0,36.0,36.0,1.0,1.1803279,12380.52,80,6006,Jordan,1.0,0.0,False,1.522449264233978,0.0040158598403008,1.823221888880932,7.678532971556294,58.95986859527712,0.8601439830965288,67.54651053073798,254,-1.0132897329589663,1.5097654659169644e-40,-0.9164658917167272,8.022337530096977e-50,True,-0.8396081209135272,-0.17368161204543853,-0.8994144348630327,-0.11387529809593344,-1.010375119373624,-0.002914613585342618,0.1707669984600967,2.4650839007908143,3,-0.9287372426802389,1.0133898610678516
9163,31.0,35.64935059999999,35.6493506,1.0,1.1688312,12393.06,80,6006,Jordan,1.0,0.0,False,1.435871185467756,0.348209011577088,1.839442538819379,9.83629353393694,96.7526704857696,0.8755169426904631,109.50919264731613,254,-1.337466747872774,3.052693939828973e-56,-1.322504474991114,1.0661774829353464e-70,True,-1.2789317746750068,-0.05853497319776646,-1.3506103487610965,0.013143600888322338,-1.337971301537241,0.0005045536644669446,0.07167857408608969,1.2385603727162977,3,-1.348839075727871,1.0199126741986517
9164,30.0,35.30546620000001,35.3054662,1.0,1.1575563,12401.62,80,6006,Jordan,0.997392618438563,0.0,False,1.4546698662753412,0.4253160905726961,1.843184975681322,10.092168872150356,101.85187254400056,0.8790831318799414,114.861479819534,254,-1.380460951108942,5.15557364499339e-73,-1.421624554117015,4.458006716448413e-87,True,-1.4965087214174118,0.11604777030847124,-1.3877854144092727,0.007324463300332262,-1.380579526524359,0.00011857541541684946,0.11592919489305276,1.2923577938840232,3,-1.4269518820202398,1.0037473522019558
9166,29.0,34.96815290000001,34.9681529,1.0,1.1464968,12406.28,80,6006,Saudi Arabia,0.8315984750308565,0.4900991144155306,False,1.4686350847568648,0.2495308835830941,1.7642994648450905,8.415505247613192,70.82072857260516,0.8054465175628838,86.92728881229034,254,-1.1420651262529855,1.0039073787932691e-80,-1.1935565961572483,2.1182267183355386e-86,True,-1.291211875764078,0.14914674951109325,-1.1450433956284567,0.002978269375471361,-1.144414517079209,0.00234939082622454,0.14679735868486898,1.1932924122100548,3,-1.1911915784056857,0.9980185122689809
9167,29.0,36.1146497,36.1146497,1.0,1.1464968,12406.28,80,6006,Saudi Arabia,1.0,0.8179233516955893,True,1.4856543272187694,0.4467786365649754,1.765921886237042,10.858855847725636,117.91475032168526,0.8069285499845106,145.12787008707116,254,-1.4881715832521616,3.3830064596527753e-102,-1.6038341733044992,9.184762586407345e-108,True,-1.7408715753037902,0.252699992051628,-1.5745639801551565,0.08639239690299572,-1.496066964454549,0.00789538120238728,0.2448046108492412,1.8719433984278129,3,-1.6015407491438147,0.9985700366042463
9168,28.0,35.7728707,35.7728707,1.0,1.1356467,12407.1,80,6006,Saudi Arabia,0.9159738422376812,0.9159738422376812,True,1.330648761776196,0.0402636205085881,1.5503703562101914,7.404168565673353,54.82171214890539,0.6219608023028294,87.14335557148664,254,-0.9969553085636961,7.031384549752784e-88,-1.1761682863256864,1.9697360213977887e-76,True,-1.1761682863256864,0.17921297776198988,,,,,,0.0,1,-1.1693502668806184,0.9942031939439829
9169,28.0,36.9085174,36.9085174,1.0,1.1356467,12407.1,80,6006,Saudi Arabia,1.0,1.0,True,1.3029247203850696,0.1293924695928581,1.5813013199047152,8.876563448103617,78.79337864820917,0.6470254600622339,120.77786425997895,254,-1.2105553866182472,5.070498277105246e-103,-1.2869298124379345,6.98673815380165e-101,True,-1.4321063956863969,0.22155100906814934,-1.2155714766401335,0.005016090021886799,-1.2131115649872704,0.0025561783690227907,0.2189948306991265,1.6179863034670001,3,-1.281338914690271,0.9956556311823469
9170,27.0,36.5625,36.5625,1.0,1.125,12404.16,80,6006,Saudi Arabia,0.9424047402999746,0.9424047402999746,True,1.2244144340786307,-0.3919362521219049,1.4451995482361732,4.544503823786267,20.65251500440801,0.5404403139882592,37.21423840867777,254,-0.5810520183225891,4.907520928483463e-64,-0.6492969200763514,7.524375548588824e-65,True,-0.7813295167350109,0.20027749841242146,-0.5836342781291539,0.002582259806564409,-0.5829269653648903,0.0018749470423010048,0.19840255137012064,1.343939039783904,3,-0.651403681004863,1.0032446803047577
9171,27.0,37.6875,37.6875,1.0,1.125,12404.16,80,6006,Saudi Arabia,1.0,1.0,True,1.340315147413446,-0.3266586524206122,1.509030226937166,5.614933950214644,31.52748326527302,0.5892342482328347,52.50585672816323,254,-0.7497246518706737,1.4723283320658435e-80,-0.7980492178344947,6.725626634419944e-85,True,-0.8829363833203944,0.13321173144972015,-0.7594852531550744,0.009760601284400337,-0.7517260170280149,0.0020013651573408398,0.13121036629237948,0.9782410711281013,3,-0.7984543495736421,1.0005076525734176
9172,26.0,37.3374613,37.3374613,1.0,1.1145511,12397.52,80,6006,Saudi Arabia,0.9689842980811154,0.9689842980811154,True,1.3584493688325443,-0.7839220849030158,1.5067988011584452,2.214921033658345,4.905875185342151,0.5874929174941509,7.350526515736242,254,-0.16260060916252472,1.8158489214399036e-13,-0.26781716145312123,9.553423580060702e-27,True,-0.4711161544291722,0.30851554526664754,-0.1672123056142423,0.0046116964517175785,-0.16512302431594902,0.002522415153424294,0.30599313011322316,2.1048164024142424,3,-0.263611194699942,0.9842953799885021
