lat_center,lon_center,lat_span,lon_span,area_km2,location,mascon_id,lon_180,lat_min,lat_max,lon_min,lon_max
30.0,49.1961415,1.0,1.1575563,12401.62,80.0,9393,49.19614150000001,29.5,30.5,48.61736335000001,49.77491965000001
30.0,50.3536977,1.0,1.1575563,12401.62,80.0,9394,50.3536977,29.5,30.5,49.77491955,50.932475849999996
30.0,51.511254,1.0,1.1575563,12401.62,80.0,9395,51.51125400000001,29.5,30.5,50.93247585000001,52.090032150000006
29.0,51.0191083,1.0,1.1464968,12406.28,80.0,9396,51.0191083,28.5,29.5,50.4458599,51.592356699999996
29.0,52.1656051,1.0,1.1464968,12406.28,80.0,9397,52.16560509999999,28.5,29.5,51.592356699999996,52.73885349999999
29.0,53.3121019,1.0,1.1464968,12406.28,80.0,9398,53.312101900000016,28.5,29.5,52.73885350000002,53.88535030000001
29.0,54.4585987,1.0,1.1464968,12406.28,80.0,9399,54.45859870000001,28.5,29.5,53.88535030000001,55.03184710000001
29.0,55.6050955,1.0,1.1464968,12406.28,80.0,9400,55.605095500000004,28.5,29.5,55.03184710000001,56.1783439
28.0,51.6719243,1.0,1.1356467,12407.1,80.0,9401,51.6719243,27.5,28.5,51.10410095,52.23974765
28.0,52.807571,1.0,1.1356467,12407.1,80.0,9402,52.807570999999996,27.5,28.5,52.23974765,53.37539434999999
28.0,53.9432177,1.0,1.1356467,12407.1,80.0,9403,53.94321769999999,27.5,28.5,53.37539434999999,54.51104104999999
28.0,55.0788644,1.0,1.1356467,12407.1,80.0,9404,55.078864399999986,27.5,28.5,54.51104104999999,55.646687749999984
28.0,56.214511,1.0,1.1356467,12407.1,80.0,9405,56.214511000000016,27.5,28.5,55.64668765000002,56.78233435000001
28.0,57.3501577,1.0,1.1356467,12407.1,80.0,9406,57.35015770000001,27.5,28.5,56.78233435000001,57.91798105000001
27.0,53.4375,1.0,1.125,12404.16,80.0,9407,53.4375,26.5,27.5,52.875,54.0
27.0,54.5625,1.0,1.125,12404.16,80.0,9408,54.5625,26.5,27.5,54.0,55.125
27.0,55.6875,1.0,1.125,12404.16,80.0,9409,55.6875,26.5,27.5,55.125,56.25
27.0,56.8125,1.0,1.125,12404.16,80.0,9410,56.8125,26.5,27.5,56.25,57.375
37.0,55.8188153,1.0,1.2543554,12383.61,80.0,9411,55.81881529999998,36.5,37.5,55.191637599999986,56.44599299999998
37.0,57.0731707,1.0,1.2543554,12383.61,80.0,9412,57.07317069999999,36.5,37.5,56.445992999999994,57.70034839999999
36.0,48.8659794,1.0,1.2371134,12373.54,80.0,9413,48.865979400000015,35.5,36.5,48.247422700000016,49.484536100000014
36.0,50.1030928,1.0,1.2371134,12373.54,80.0,9414,50.10309280000001,35.5,36.5,49.484536100000014,50.72164950000001
36.0,51.3402062,1.0,1.2371134,12373.54,80.0,9415,51.34020620000001,35.5,36.5,50.72164950000001,51.95876290000001
36.0,53.814433,1.0,1.2371134,12373.54,80.0,9416,53.81443300000001,35.5,36.5,53.19587630000001,54.43298970000001
36.0,55.0515464,1.0,1.2371134,12373.54,80.0,9417,55.05154640000001,35.5,36.5,54.43298970000001,55.670103100000006
36.0,56.2886598,1.0,1.2371134,12373.54,80.0,9418,56.288659800000005,35.5,36.5,55.670103100000006,56.907216500000004
36.0,57.5257732,1.0,1.2371134,12373.54,80.0,9419,57.5257732,35.5,36.5,56.907216500000004,58.1443299
36.0,58.7628866,1.0,1.2371134,12373.54,80.0,9420,58.7628866,35.5,36.5,58.1443299,59.3814433
35.0,48.3673469,1.0,1.2244898,12402.09,80.0,9421,48.3673469,34.5,35.5,47.755102,48.9795918
35.0,49.5918367,1.0,1.2244898,12402.09,80.0,9422,49.59183669999999,34.5,35.5,48.97959179999999,50.20408159999999
35.0,50.8163265,1.0,1.2244898,12402.09,80.0,9423,50.8163265,34.5,35.5,50.2040816,51.4285714
35.0,52.0408163,1.0,1.2244898,12402.09,80.0,9424,52.04081630000002,34.5,35.5,51.42857140000002,52.65306120000002
35.0,53.2653061,1.0,1.2244898,12402.09,80.0,9425,53.265306100000004,34.5,35.5,52.6530612,53.877551000000004
35.0,54.4897959,1.0,1.2244898,12402.09,80.0,9426,54.48979589999999,34.5,35.5,53.87755099999999,55.10204079999999
35.0,55.7142857,1.0,1.2244898,12402.09,80.0,9427,55.714285700000005,34.5,35.5,55.102040800000005,56.326530600000005
35.0,56.9387755,1.0,1.2244898,12402.09,80.0,9428,56.93877549999999,34.5,35.5,56.32653059999999,57.55102039999999
35.0,58.1632653,1.0,1.2244898,12402.09,80.0,9429,58.163265300000006,34.5,35.5,57.551020400000006,58.77551020000001
35.0,59.3877551,1.0,1.2244898,12402.09,80.0,9430,59.38775509999999,34.5,35.5,58.77551019999999,59.99999999999999
34.0,50.1342282,1.0,1.2080537,12384.63,80.0,9431,50.134228199999995,33.5,34.5,49.53020135,50.73825504999999
